"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"MRPS21",3490,2724,1843,217,4620,7221,11569,2873,10133,10872,1216,59,3336,678,5826,7933,698,251,2428,7125
"PRPF3",358,317,128,13,178,849,659,206,861,396,65,14,139,115,321,563,28,109,343,854
"RPRD2",210,152,116,10,123,448,666,258,859,231,44,5,155,96,425,580,32,58,573,1211
"TARS2",122,144,57,7,150,468,336,179,408,323,28,12,187,22,367,382,22,33,170,379
"ECM1",345,3,184,1,11,8,41,1355,21,143,3,16,85,2,1171,25,39,150,265,908
"FALEC",5,13,6,0,20,30,19,18,17,12,2,0,26,2,24,43,5,16,22,67
"ADAMTSL4",9,5,6,1,4,6,25,142,27,139,0,0,6,2,91,21,3,3,8,46
"MCL1",2500,1807,2173,52,690,1827,3365,4761,4580,3459,1054,63,1113,757,7709,4073,371,492,2852,10393
"ENSA",2767,4803,1965,299,2325,2913,9526,1709,5993,5515,439,99,2463,550,4789,10258,440,879,3567,7613
"GOLPH3L",350,325,230,4,188,591,443,212,523,400,80,4,221,32,1296,1214,86,114,555,698
"HORMAD1",0,0,0,35,60,13,39,0,2351,0,5,0,0,0,0,0,1,0,0,0
"CTSS",26,74,43,50,182,401,59,258,1118,519,153,6,59,21,828,249,9,6,26,142
"CTSK",5,9,19,4,20,30,44,4025,152,24,9,3,5,23,63,70,3,3,39,56
"ARNT",132,91,56,11,49,238,420,239,379,291,25,3,106,57,317,324,8,25,236,506
"SETDB1",191,119,92,4,179,590,467,135,384,201,47,5,157,56,203,263,28,27,244,526
"CERS2",572,208,566,45,688,1244,1520,1177,2698,1107,106,80,1286,461,3448,3921,114,370,2335,4302
"RP11-316M1.3",1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,2,1
"ANXA9",11,19,346,1,0,1,81,5,15,14,2,69,727,69,502,2250,11,123,379,876
"FAM63A",81,137,96,4,33,241,368,113,182,113,7,8,228,151,422,874,19,51,304,324
"PRUNE",193,87,94,7,195,485,624,85,298,192,25,9,234,85,363,291,23,88,304,635
"BNIPL",209,33,113,0,2,118,636,3,112,94,4,16,217,53,106,991,42,37,1079,1813
"C1orf56",124,235,27,17,80,105,238,148,574,1360,9,20,191,41,1646,1339,28,52,364,733
